,twitterid,Date,User,Tweet,source,likes,replycount,retweets
19,1244749439480270848,2020-03-30 22:12:47+00:00,kayleighmcenany,"BOOM: @realDonaldTrump obliterates CNN ⬇️

""I want to keep the country calm.""

The coronavirus ""will go away.""

""We're going to have a great victory!""

""People don't want to listen to CNN anymore...""
https://t.co/r5J4h5Lmj2","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",24116,4793,5586
20,1244749414838788096,2020-03-30 22:12:41+00:00,melfumeros,gen z explaining the coronavirus pandemic to their children: https://t.co/SEMsYZgRk8,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",20480,33,4375
21,1244748588036562949,2020-03-30 22:09:24+00:00,BernieSanders,"We must move forward on a fourth coronavirus stimulus package.

This bill must protect workers, not hand out more corporate welfare. 

It must provide a full paycheck for laid off workers for the duration of the crisis, and guarantee health care for all.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",24365,930,4896
22,1244748181272961031,2020-03-30 22:07:47+00:00,funder,CNN’s Jim Acosta just called out Trump for lying about coronavirus. Trump replied by having a tantrum. Trump says he could “cause panic much more than even you. I could make you look like a minor league player.” Americans are dying. And Trump’s being a toddler. #StopAiringTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",36574,1247,11329
23,1244748180253806600,2020-03-30 22:07:47+00:00,MichaelChavis11,So I’m working out outside today and while I was jump roping one of my neighbors decided to walk (slowly) to her mailbox completely naked while her husband was filming. I don’t know what that means exactly but what a journey this Coronavirus has taken us on.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9627,275,762
24,1244747547941507080,2020-03-30 22:05:16+00:00,Yamiche,"President Trump, answering a question from @Acosta, just defended saying a month ago that a “miracle” would take away the coronavirus and make cases go to zero.  He said he wanted Americans to remain “calm.”

Trump added: I could cause panic. But I don’t want to do that.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",13750,1975,3149
25,1244747393649627137,2020-03-30 22:04:39+00:00,RealSaavedra,Communist China is so happy that CNN's Jim Acosta is at the coronavirus press briefing,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",13731,3048,2462
26,1244745473958830080,2020-03-30 21:57:01+00:00,5SOS,"We have a small number of limited edition CALM vinyls that come with signed inserts and a download of a new song on sale now in the US. $1 from every purchase will go to the Plus1 fund, set-up to support those in most at risk from the COVID-19 pandemic. https://t.co/wD9X7XPsIw https://t.co/KLVeMdnXvC","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12744,812,2132
27,1244744951637979138,2020-03-30 21:54:57+00:00,KatiePavlich,"CNN cuts away from a man who got a second chance at life, successfully pursued the American Dream and is now voluntarily making 50,000+ masks to fight Wuhan coronavirus. https://t.co/Nph5uGluwL","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",13860,614,3607
28,1244744904523370496,2020-03-30 21:54:46+00:00,JoyAnnReid,So my Tiger King binge was  interrupted by a text saying the CEO of MyPillow is now part of the presidential briefings on COVID19 ... please tell me this is a prank.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",42260,8946,4971
29,1244743817577656320,2020-03-30 21:50:26+00:00,charliekirk11,RT if Andrew Cuomo should be removed from office for releasing child rapists from prison because he’s afraid they will get Coronavirus!,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",29308,1000,13900
30,1244742999059369993,2020-03-30 21:47:11+00:00,EmpireStateBldg,"[1/2] We’ll never stop shining for you. 

Starting tonight through the COVID-19 battle, our signature white lights will be replaced by the heartbeat of America with a white and red siren in the mast for heroic emergency workers on the front line of the fight. https://t.co/OYkblLTRHN","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",11511,263,3562
31,1244742820344233986,2020-03-30 21:46:29+00:00,guypbenson,"I actually love that the WH briefing included CEO’s, each of whom explained how their business is joining America’s all-hands-on-deck effort to fight Coronavirus — in which the private sector has been &amp; will be absolutely vital.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11435,266,1801
32,1244741422458208256,2020-03-30 21:40:55+00:00,hadizel,"Dear Tweeps,

My COVID-ONE-NINE test result is out. 
I’m NEGATIVE.
Thanks for all your prayers and good wishes. 

#StayAtHomeStaySafe
#WashYourHands","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",11740,1925,1415
33,1244740971235028993,2020-03-30 21:39:08+00:00,LarryOConnor,"The ""My Pillow Guy"" that you ungrateful jerks are ranting about is named @realMikeLindell and he just re-tooled his company to provide 50K face masks per day while we get through a deadly global pandemic. 

You don't need to thank him, but you could at least STFU about him.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",41084,1190,8540
34,1244740903903739905,2020-03-30 21:38:52+00:00,atrupar,Trump showcasing executives from all these private companies instead of talking about government efforts is a reflection of how little his administration is doing to respond to the coronavirus,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",7724,1141,1836
35,1244739544102010880,2020-03-30 21:33:28+00:00,andrewkimmel,What the fuck is the my pillow guy doing during a coronavirus press conference?,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",36281,3202,3504
36,1244739191373729794,2020-03-30 21:32:04+00:00,SethAbramson,OMG the CEO of My Pillow is briefing America about coronavirus response,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",14754,1642,2729
37,1244739107718340609,2020-03-30 21:31:44+00:00,oliverdarcy,CNN cuts away from the White House coronavirus briefing when Trump invites the My Pillow guy up to the podium to talk.,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",27644,4600,4561
38,1244737591175458817,2020-03-30 21:25:42+00:00,Yamiche,"President Trump at the coronavirus briefing just now reiterated that his hair is his.

He said: My hair is blowing in the wind and it’s mine. That’s one thing you can’t get away with if you’re president.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",32288,4383,5443
39,1244736442565197824,2020-03-30 21:21:08+00:00,4everNeverTrump,"@ByronYork @henryolsenEPPC The CDC issued its first warning on Jan 8.

Trump held campaign rallies on Jan 9, Jan 14, Jan 28, Jan 30, Feb 10, Feb 19, Feb 20, Feb 21 &amp; Feb 28.

He golfed on Jan 18, Jan 19, Feb 1, Feb 15, Mar 7 &amp; Mar 8.

The first time he admitted the coronavirus might be a problem was Mar 13","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",7980,266,4819
40,1244734285548064783,2020-03-30 21:12:34+00:00,funder,"I’m watching Trump’s press conference so you don’t have. Instead of watching, please let all networks know we don’t want a pathologically lying politician’s spin on coronavirus. We want doctors talking about facts and science. Period. No more Trump propaganda. #StopAiringTrump","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8451,573,3212
41,1244732533943799809,2020-03-30 21:05:36+00:00,RepMaxineWaters,"Trump, you incompetent idiot! You sent 18 tons of PPE to China early but ignored warnings &amp; called COVID19 concerns a hoax. You've endangered doctors, nurses, aids, orderlies, &amp; janitors - all risking their lives to save ours. Pray 4 forgiveness for the harm that you're causing!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",150836,18450,43452
42,1244731602414034944,2020-03-30 21:01:54+00:00,RepMaxineWaters,"Trump, stop congratulating yourself! You’re a failure &amp; you've mishandled this #COVID19 disaster! You're not knowledgeable &amp; you don’t know more than experts &amp; generals. Your ignorance &amp; incompetence are appalling &amp; you continue to demonstrate that every time you open your mouth!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",23524,2132,7631
43,1244730770503151616,2020-03-30 20:58:36+00:00,FionaPrine,I need to clarify what I mean by “John is stable”. That is not the same as improving. There is no cure for Covid-19. He needs our prayers and love - as do the thousands of others who are critically ill. Stay at home. Wash your hands. We love you.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",20432,845,2146
44,1244730534787497988,2020-03-30 20:57:40+00:00,AliceOllstein,BREAKING: A Texas judge appointed by George W. Bush just sided with abortion clinics who were challenging the state's order to halt abortions during the #covid19 pandemic. The state is banned from enforcing the order for the next couple week while the lawsuit continues in court.,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",6851,143,1709
45,1244729634291437568,2020-03-30 20:54:05+00:00,cnnbrk,"Dr. James T. Goodrich, a neurosurgeon who led multiple separations of conjoined twins, died Monday after complications related to Covid-19, his hospital says https://t.co/fagu9hXunb https://t.co/RdPc4uesBF","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",9978,795,4275
46,1244726749021290496,2020-03-30 20:42:37+00:00,byKateSmith,"BREAKING A federal judge in Texas has granted Planned Parenthood &amp; @ReproRights a temporary restraining order against the state's coronavirus abortion ban.

Abortion will be allowed to continue in Texas.

Story coming....","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",22187,1433,5835
47,1244726326004715520,2020-03-30 20:40:56+00:00,DrPhillipLee,We could have been ready for #COVID19. That’s what makes me so angry about this Government’s mishandling of this pandemic....1/,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8708,247,4075
48,1244725724512124938,2020-03-30 20:38:33+00:00,bdk1521,My cousin Billy died this afternoon of coronavirus. He was 71 and lived in the Chicago area. He was developmentally disabled and one of the sweetest men I ever knew. 💔😭,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",38218,5878,3664
49,1244725692245454849,2020-03-30 20:38:25+00:00,chucklindell,"BREAKING: A federal judge has blocked Texas from temporarily closing abortion clinics as part of the state’s response to the coronavirus outbreak. Story coming soon.
#txlege","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",29817,135,5348
50,1244724741153447941,2020-03-30 20:34:38+00:00,PadmaLakshmi,ATTN New Yorkers: people in their 30’s are being taken off life support because of Coronavirus and you’re out here en masse taking pictures of a boat? https://t.co/M9gZ2iuxL5,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11463,631,2632
51,1244722242560372739,2020-03-30 20:24:43+00:00,RealCandaceO,"Our media spent every day in 2016, showing black men getting killed by cops. It was a problem because it presented a false picture by denying other relevant statistics. 
I learned then that numbers always need context. This is why I want more numerical context to #COVID19 deaths.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12190,535,2597
52,1244719799663501313,2020-03-30 20:15:00+00:00,BillGates,"One of the questions I am most often asked about the #COVID19 pandemic is how, and when, it will end. This article by @edyong209 does a really good job of outlining the steps we need to take. https://t.co/hA2JChowQS","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",17609,1678,6354
53,1244716135234318337,2020-03-30 20:00:27+00:00,NCDCgov,"Twenty new cases of #COVID19 have been reported in Nigeria; 13 in Lagos, 4 in FCT, 2 in Kaduna and 1 in Oyo State

As at 09:00 pm 30th March there are 131 confirmed cases of #COVID19 reported in Nigeria with 2 deaths https://t.co/qXWEsSWG4y","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",10449,1952,8051
54,1244713931182088193,2020-03-30 19:51:41+00:00,GovWhitmer,"As I said this morning, I want to make something clear to those who are at high risk for #COVID19:

I see you &amp; I am fighting for you. Your health is of the utmost importance to me. When I said we’re going to get through this together, I meant it.

You matter. I’ve got your back. https://t.co/KJK4Cad2e3","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9512,589,1203
55,1244713183002144769,2020-03-30 19:48:43+00:00,SamAtallahMD,"My wife: on a stretcher just before being transferred to the #COVID19 isolation ward 

Me: holding back tears 

Get well soon so we can celebrate our 21st wedding anniversary Friday 

Prayers 🙏 https://t.co/QmGWACqZvM","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",104841,9164,10790
56,1244713166480826370,2020-03-30 19:48:39+00:00,morethanmySLE,"Trump ACCUSED hospitals of hoarding ventilators.

HOARDING Ventilators.

Accusing hospitals of having the equipment they are desperately asking for along with PPEs. WHO SPEAKS LIKE THIS WHILE PEOPLE SUFFER &amp; DIE FROM #COVID19 ?????

#StopAiringTrump","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",9594,634,4065
57,1244711986623021059,2020-03-30 19:43:57+00:00,staceyabrams,"GA is the only state with two U.S. Senate races on the ballot in 2020. We must decide if we want two Senators who, when they received a private briefing on #COVID19, took that information to make a profit — or if we want Senators who actually think about the people first. #gapol","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",34779,331,10691
58,1244711031945003009,2020-03-30 19:40:10+00:00,Yamiche,"Speaker Pelosi &amp; House Democrats on call w/ reporters are talking about a phase 4 coronavirus bill just days after the $2 trillion phase 3 was signed into law. They said next bill should focus on recovery, direct aid &amp; infrastructure issues such broadband internet &amp; clean water.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",9617,209,2138
59,1244709952712617984,2020-03-30 19:35:52+00:00,GavinNewsom,"NEW: California has 1,432 COVID-19 positive patients in hospital beds.

597 of those patients are in ICU beds.

Over the next few weeks these numbers will increase. We’re working around the clock to get the equipment, medical staff, and beds we will need to meet this moment.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8265,476,1961
60,1244709342672236545,2020-03-30 19:33:27+00:00,funder,.@CNN &amp; @MSNBC should stop airing Trump’s coronavirus press conferences. Raise your hand if you agree. #StopAiringTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",44516,2974,9943
61,1244708741167095810,2020-03-30 19:31:04+00:00,IGN,Disney executive chairman Bob Iger will forego his entire salary while other top executives will take major pay cuts to help pay employees during the coronavirus pandemic. https://t.co/uJhlyxZMjX https://t.co/nboqiNH3az,"<a href=""https://www.spredfast.com"" rel=""nofollow"">Khoros Publishing App</a>",11990,282,2554
62,1244702579604377601,2020-03-30 19:06:35+00:00,eugenegu,I don’t understand how the FDA can approve anti-malaria drugs chloroquine and hydroxychloroquine for the coronavirus without any reputable clinical trials proving that they work. FDA decided to use human beings as guinea pigs based on anecdotal reports and advice from Dr. Trump.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11515,878,2901
63,1244701749463724037,2020-03-30 19:03:17+00:00,atensnut,I sure as heck don’t want to see endless hours of Gov Cuomo giving COVID updates on Fox if they are not going to air President Trump’s updates.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",14741,813,3265
64,1244699299218219008,2020-03-30 18:53:32+00:00,theskindoctor13,"Sir @narendramodi

Indians have donated their hard earned money to @PMCares. Pl make sure not a single penny goes as compensation to the families of those who die to COVID because of their defiance to social distancing/lockdown.

A law abiding citizen will feel cheated otherwise.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",18767,447,6007
65,1244698875279130636,2020-03-30 18:51:51+00:00,SarahKSilverman,"Who THE FUCK still supports this maniac? Nurses aren’t stealing masks, they’re not reusable and there’s a pandemic Jesus H Christ https://t.co/QpBUoeTQaX","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",14098,957,2146
66,1244696946343702529,2020-03-30 18:44:12+00:00,liz_franczak,so how are the 10-20% of americans losing their jobs over the next month gonna get health insurance for the pandemic,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",11819,149,965
67,1244695890255806469,2020-03-30 18:40:00+00:00,ABSCBNNews,Health expert says #LuzonLockdown will only be effective if backed by mass testing of #COVID19 https://t.co/eXS4WpdNC2,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",6455,33,2807
68,1244693710618742784,2020-03-30 18:31:20+00:00,maddow,"""The number of confirmed coronavirus cases in Florida is doubling every three days. Florida remains one of the few states with a large outbreak not to issue a statewide order to keep residents at home.""

https://t.co/KDh6yYQ4ky","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",12611,1445,6000
69,1244691334704902145,2020-03-30 18:21:54+00:00,DavidLat,"Thanks to all the great doctors, nurses, and other #healthcare professionals taking such good care of me here at @NYUlangone. #COVID19 #Covid_19 #NationalDoctorsDay https://t.co/5DGaXpTOij","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8463,134,1011
70,1244690931946831876,2020-03-30 18:20:18+00:00,paulg,Funny how characteristically each country reacts to the coronavirus. China tracks its citizens' every move. Hungary becomes a dictatorship. The US gives money to businesses. The Japanese conceal the problem. The British bravely but stupidly seek herd immunity.,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",10508,365,2165
71,1244690851734802432,2020-03-30 18:19:58+00:00,dhanyarajendran,"I want to end the day with good news. Two COVID 19 patients, a couple aged 93 and 88, in Kerala, made full recovery. May we have more such examples.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",17342,172,2614
72,1244689811484573702,2020-03-30 18:15:50+00:00,MikeDoyleComedy,A lot of people now know that unfortunately my son Tommy is in Hospital in Cardiff I’m afraid he has COVID 19 and having a bad time of it please pray for him tonight if you could record a little video wishing him well I’m sure that would help to cheer him up thank you 🙏,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8708,926,407
73,1244689288844865537,2020-03-30 18:13:46+00:00,tedlieu,Your regular reminder that #GOP officials &amp; @realDonaldTrump are suing to eliminate the law that guarantees coverage for Americans with pre-existing conditions. And they are doing this in the middle of a pandemic that disproportionately impacts those with pre-existing conditions. https://t.co/QvmH7hyBrh,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9500,205,4975
74,1244689022024179719,2020-03-30 18:12:42+00:00,theskindoctor13,"They won't follow social distancing because to them every govt appeal is an interference to their religious freedom.

If they die of COVID-19, their relatives will put blame on poor medical facilities and claim huge compensation, house &amp; jobs from the government. Hail secularism!","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",15956,299,4967
75,1244687989466423297,2020-03-30 18:08:36+00:00,VP,"We must suspend wage garnishment, car repossessions, credit card interest and penalties, and any negative credit reporting for the duration of the pandemic (including for at least 120 days after this is over).","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",36720,922,7847
76,1244683237772976128,2020-03-30 17:49:43+00:00,thedailybeast,"BREAKING: A Florida sheriff announced an arrest warrant for a controversial pastor after the religious leader refused to stop holding packed church services amid the coronavirus outbreak
https://t.co/IHOaChG6Uv","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",9163,573,2506
77,1244682791297613824,2020-03-30 17:47:57+00:00,Yamiche,".@NYGovCuomo says it is ""anti-American"" to get into political disputes amid the coronavirus outbreak in the U.S.

""There is no red and blue,"" he said. ""There is red, white and blue.""","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",18684,485,3346
78,1244682311116955648,2020-03-30 17:46:02+00:00,Yamiche,".@NYGovCuomo on President Trump and coronavirus: ""I am not engaging the president in politics...This is no time for politics. Lead by example...I am not going to rise to the bait of a political challenge...I just want partnership to deal with this.""","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",16188,203,2845
79,1244681811894194179,2020-03-30 17:44:03+00:00,jackthorne,"Seem to have Covid, which is not reacting great with my asthma. Amazing treatment from my GP over the phone, taking the time to give me all sorts of tests THEN consulting with a colleague before prescribing. Feel like I’ve been run over by an elephant but in total awe of the NHS.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",10320,637,399
80,1244681692071301121,2020-03-30 17:43:35+00:00,iamOkon,"Davido has met with with Gov. Seyi Makinde &amp; of course his fiancé Chioma in the last 7-14 days. If he isn’t infected with Coronavirus. HE IS THE ANTIDOTE. 

He automatically becomes the answer to the world’s problem!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9613,421,2741
81,1244681144500727808,2020-03-30 17:41:24+00:00,MaketheRoadNY,"""I walked out because @Amazon lied, they told me there was one case in the building and there is actually eleven, so I don't feel safe."" 

We stand with Amazon workers at JFK8 warehouse going on strike to demand protections amid a pandemic. #AmazonStrike #ProtectAmazonWorkers https://t.co/k3T2CzUOjB","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",13787,204,5226
82,1244678551846223872,2020-03-30 17:31:06+00:00,Meghan_Ottolini,My best friend was hospitalized with COVID-19 last week. She's 31 and one of the healthiest people I know. No underlying conditions. Her lung partially collapsed. She was on oxygen. Those lungs ran college track and 2 marathons. This virus does not discriminate. She's still sick.,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",8305,143,2069
83,1244676598445604870,2020-03-30 17:23:20+00:00,NYGovCuomo,"No American is immune.

What is happening in New York is NOT an anomaly.

We will share the lessons learned here across this country. 

#COVID19","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",8787,290,1491
