,twitterid,Date,User,Tweet,source,likes,replycount,retweets
0,1476695948025868288,2021-12-30 23:25:24+00:00,PPaulCharles,"I’d expect the pre-departure test to the #UK and the PCR test on arrival, before the end of Day 2, to be scrapped at the next review. They are no longer needed when #Omicron is proven to be less severe for the fully-vaccinated. Government doesn’t need such data now. @ThePCAgency","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1030,116,96
1,1476652700016254984,2021-12-30 20:33:33+00:00,AdoptionsUk,"Please retweet to help Lexi and Lola find a home together #LANCASHIRE #ENGLAND 

Aged about 8and 6, mother and daughter. They would like to be the only pets and can live with children age d10+. Please share to keep them together
DETAILS👇
https://t.co/VvD6WeTbFM
#dogs #pets #UK https://t.co/ur7MTVvEcM","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",587,10,819
2,1476642939405275136,2021-12-30 19:54:46+00:00,mitchlafon,"Are you a Turbo Lover? 

The album was Top 20 smash in the US

And yes, Parental Guidance is an awesome song! 

(1986 ad) 

#HardRock #judas #HeavyMetal #uk #metal #80smusic @judaspriest https://t.co/b4GQWwCVbD","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",333,65,21
3,1476634401266098184,2021-12-30 19:20:50+00:00,AdoptionsUk,"This is from #York City Council Website  #UK 

'We keep stray dogs for a statutory 7 day period, before we try to re-home them. If we're ever unable to find a suitable home, it's possible the dog may be destroyed'

PLEASE CHECK IF YOU CAN ADOPT FROM YOUR LOCAL COUNCIL POUND? https://t.co/ucVA99sM7U","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",249,7,375
4,1476617646917439489,2021-12-30 18:14:15+00:00,AdoptionsUk,"Please retweet to help Rascal and Scamp find a home together #KENT #UK 
Bonded pair aged 7 and 8 ' Ridgeback and Jack Russell' friendly and love attention, could live with older children. Please contact the shelter for more info🍀
DETAILS👇
https://t.co/isJIm3dPz0
#NewYear #dogs https://t.co/7sxgVigW6F","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",475,9,624
5,1476325929299419138,2021-12-29 22:55:05+00:00,AdoptionsUk,"Please retweet, #Birmingham Dogs home received 126 abandoned dogs in the first week of December which is more than they usually receive in a month⚠️

We have a crisis facing abandoned pets in the #UK as many shelters are full💔
INFO👇
https://t.co/QsQolncWwx…… #NewYear #dogs","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",399,22,659
6,1476310703640391680,2021-12-29 21:54:34+00:00,AdoptionsUk,"Please retweet to help Max find a home #STAFFORDSHIRE #UK 
Friendly Collie aged 3, owner given up due to work. Poor max spent some of his life tied on a chain. He's looking for an adult home best as only pet. 
DETAILS or APPLY👇
https://t.co/ckg7fEkqak
#dogs #NewYear  #England https://t.co/i5wnQi8Lh5","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",414,8,607
7,1476235834932273157,2021-12-29 16:57:04+00:00,AdoptionsUk,"Please retweet to help Wooly find a home #BERKSHIRE #UK 
Affectionate Spitz aged 4, he's had a very tough start in life. He's looking for a caring home that can go on with training. Children ok 10+ and he would prefer to be the only pet.
DETAILS or APPLY👇
https://t.co/pHPuHz42P4 https://t.co/bbDY0DePQQ","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",507,23,653
8,1476210549767622656,2021-12-29 15:16:36+00:00,BMTheEquityDesk,High #Omicron cases means new highs on the stock indices #America #UK #France !,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1000,48,37
9,1475878317026861057,2021-12-28 17:16:25+00:00,jensstoltenberg,"Spoke with #UK Foreign Secretary @trussliz about Russia’s continued unprovoked &amp; unexplained build-up in &amp; around #Ukraine. #NATO’s actions are defensive &amp; proportionate, and we remain open to dialogue. I have called for a meeting of the NATO-Russia Council in January.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",437,86,140
10,1475865438156464134,2021-12-28 16:25:15+00:00,AdoptionsUk,"Please retweet to help Caleb find a home #ESSEX #ENGLAND #UK 

Aged 2-5, he finds the world a scary place. He's looking for a quiet adult home as the only pet. He's been OVERLOOKED for a few years💔

DETAILS 👇
https://t.co/0SPJpKhdXh………………
#dogs #pets #animals #NewYear https://t.co/rezcySTUG3","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",309,7,444
11,1475819558757875715,2021-12-28 13:22:56+00:00,AdoptionsUk,"Please retweet to help Lola find a home #LIVERPOOL #ENGLAND 
Aged 4, she did have a viewing arranged but they didn't turn up!  She needs an experienced, adult home as the only pet. Please read details, she really needs retweets
DETAILS👇💔
https://t.co/hn5UIsA8V2
#NewYear2022 #UK https://t.co/Xx8793gYU2","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",228,10,383
12,1475748101835141123,2021-12-28 08:39:00+00:00,Iberdrola_En,"2021 🔜 2022

With everyone's commitment and positive energy, 2⃣0⃣2⃣2⃣ will be better (sure 😉).
 
🙌Merry (safe) Christmas and happy new year from East Anglia One Offshore Wind Farm! 🥳🎄🎅 #UK https://t.co/3evSZJQvrH","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",5998,50,303
13,1475742967323365380,2021-12-28 08:18:36+00:00,ems_richard,"So, anyone think we are still going to reach the Sajid 1,000,000 #omicron #UK daily cases in the next 3-4 days? 

or can we add that one to the the SAGE7000, FERGUSSON200000, PRITCHARD14X https://t.co/2ynaCEwoIe","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",569,40,131
14,1475584356345331722,2021-12-27 21:48:20+00:00,AdoptionsUk,"Please retweet, #Birmingham Dogs home received 126 abandoned dogs in the first week of December which is more than they usually receive in a month⚠️

We have a crisis facing abandoned pets in the #UK as many shelters are full⚠️
INFO👇
https://t.co/QsQolncWwx… #NewYear #dogs https://t.co/LGkcb2AEJa","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",291,2,503
15,1475583429056028679,2021-12-27 21:44:39+00:00,AdoptionsUk,"Please sign and retweet to ban snares in the UK 

SIGN👇✍️
https://t.co/9772iajk4i
#wildlife #foxes #badgers #animals #UK https://t.co/hLmLA6PHXY","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",317,20,291
16,1475562256096133121,2021-12-27 20:20:31+00:00,AdoptionsUk,"Special appeal, please retweet to help Danny Boy find a home #Kent #UK 

Terrier aged 10, due to abuse looking for an adult, single, female home. He has a very sad story and will need anyone that can offer a home to visit him multiple times before adoption
https://t.co/isJIm3vqqy https://t.co/umRi9YGECW","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",516,21,729
