,twitterid,Date,User,Tweet,source,likes,replycount,retweets
0,1387686147380350977,2021-04-29 08:32:14+00:00,HighDefDiscNews,"‘Zack Snyder’s Justice League’ Bows No. 1 on U.K. Home Entertainment Chart

This is based on digital downloads in the United Kingdom so far. Very interesting. 

#Digital #UK #ZackSnydersJusticeLeague #ZackSnyder 

https://t.co/P9rBYZOhX2 https://t.co/vntVe6wGJ3","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",325,5,113
1,1387381066193899523,2021-04-28 12:19:57+00:00,MevlutCavusoglu,"Met w/ Foreign Minister @DominicRaab of #UK in Geneva.
-Confirmed our full support to new solution vision of the Turkish Cypriot side.
-The only realistic solution is conduct of negotiations between two States rather than two communities.🇹🇷🇬🇧 https://t.co/7siWUjxirT","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1102,22,225
2,1387046009058910223,2021-04-27 14:08:33+00:00,AdoptionsUk,"Please retweet to help Jack and Missy find a home together #LIVERPOOL 
Bonded pair aged 13 and 8, family have emigrated... they are looking for an adult home as only pets where someone will be around for them and give them the love they deserve💔
https://t.co/ys6je5VHOr
#dogs #UK https://t.co/RCB0MGm5BK","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",273,21,434
3,1387011516684177408,2021-04-27 11:51:29+00:00,AdoptionsUk,"Please retweet to help Bruno find a home #MANCHESTER 

This lovely Staffie smiler is looking for a home with adults or children aged 14+ as only pet, he's not keen on other dogs, enjoys the car, walks and fuss, can you offer him a home?🍀💐
https://t.co/4u9Eb1EIUV
#dogs #pets #uk https://t.co/TjHMICdzGI","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",213,5,345
4,1386975016462528516,2021-04-27 09:26:27+00:00,arsched,"A no of #Covid19 POSITIVE reports of students appearing in exams for fear of losing an academic year have been received. 
#NCOCsavestudents &amp; implement grading assessment as in #UK
@CTurnerFCDO #BritishCouncil #Pakistani children deserve same treatment as #British children. https://t.co/UK62VFCPPn https://t.co/WvKqoXFIaF","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1485,73,712
5,1386927596554891268,2021-04-27 06:18:01+00:00,1Pepsy,Little #FOX Cub Named 'Sticky': Rescued From #Edinburgh 'Glue Trap' - Is Lucky to be ALIVE!  https://t.co/al7LNUbdum  #UK  #BanGlueTraps https://t.co/vopgSDNNDn,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",222,8,119
6,1386893733891776515,2021-04-27 04:03:28+00:00,rameshlaus,"After few #Australian players return , #ECB - England and Wales Cricket Board is under tremendous pressure to bring back English players home from #IPL2021 

Local Govts in #UK are concerned about the Covid situation in #India 

11 players from #England are playing in #IPL2021","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2026,10,202
7,1386778521259986944,2021-04-26 20:25:39+00:00,arsched,"If a single #Pakistani child gets infected due to decisions of #ShafqatMehmood , parents can register cases against him under Infectious Diseases Ordinance 2020 &amp; PPC 269/270 and 300(d).
#PakistaniLivesMatter
Why #ShafqatMehmood did not go for grading system as in #UK ? https://t.co/hARtBRjMj0","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",1160,97,452
8,1386758151568035841,2021-04-26 19:04:42+00:00,AdoptionsUk,"Please retweet to help Suki find a home #LIVERPOOL #UK
Lovely Akita aged 9, BEEN IN THE SHELTER FOR 4 YEARS!  She loves walks, play and the snow, looking for an experienced adult home as only pet. Please share, let's get her a home! 💔
DETAILS or APPLY👇🍀
https://t.co/SJHCipv0Q9 https://t.co/BVSC0GLOJb","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",280,11,422
9,1386729755416965120,2021-04-26 17:11:52+00:00,DaveSpherical,CLICK FULL - Good #evening #TwitterFriends #twitter #TwitterFamily the bullet of a female #kingfisher heading back to her perch #naturelovers #birds #wildlifephotography @BBCRadioLincs @looknorthBBC #lincolnshire #lincsconnect #fast #action #fishing #nature #GreatBritain #UK https://t.co/QTJnztqVHG,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",986,20,115
